time,reference,lqr_position,lqr_voltage,rnn_position,rnn_voltage
9.33,0.0053654037010546045,0.005152815287161611,-1.774623261599271,,
9.335,0.0053768809693352,0.00516396186308032,-1.7632023789983635,,
9.34,0.005388374257145349,0.005175126559954201,-1.7517640943018116,,
9.345,0.0053998834510509425,0.005186309267592204,-1.740308520400864,,
9.35,0.005411408437460875,0.005197509875625519,-1.7288357703574058,,
9.355,0.0054229491026281966,0.005208728273508667,-1.7173459574028616,,
9.36,0.005434505332651187,0.0052199643505205905,-1.705839194937031,,
9.365,0.0054460770134745345,0.005231217995765744,-1.6943155965270267,,
9.370000000000001,0.005457664030890415,0.005242489098175193,-1.68277527590611,,
9.375,0.005469266270539639,0.005253777546507708,-1.6712183469725757,,
9.38,0.005480883617912795,0.00526508322935086,-1.6596449237886612,,
9.385,0.005492515958351349,0.005276406035122125,-1.6480551205793714,,
9.39,0.0055041631770488,0.005287745852069979,-1.6364490517313917,,
9.395,0.0055158251590517945,0.005299102568275009,-1.624826831791929,,
9.4,0.005527501789261289,0.0053104760716510095,-1.6131885754676076,,
9.405,0.005539192952433645,0.005321866249946094,-1.6015343976233116,,
9.41,0.005550898533181817,0.005333272990743802,-1.589864413281086,,
9.415000000000001,0.005562618415976439,0.005344696181464207,-1.5781787376189529,,
9.42,0.005574352485146995,0.0053561357093650265,-1.566477485969808,,
9.425,0.005586100624882972,0.005367591461542741,-1.5547607738202984,,
9.43,0.005597862719234964,0.0053790633249337,-1.5430287168096306,,
9.435,0.005609638652115851,0.005390551186315242,-1.5312814307284723,,
9.44,0.00562142830730193,0.005402054932306816,-1.5195190315177978,,
9.445,0.005633231568434068,0.005413574449371091,-1.5077416352677402,,
9.450000000000001,0.005645048319018838,0.005425109623815084,-1.4959493582164405,,
9.455,0.005656878442429677,0.005436660341791281,-1.4841423167489074,,
9.46,0.005668721821908055,0.00544822648929876,-1.4723206273958878,,
9.465,0.005680578340564586,0.005459807952184313,-1.4604844068326686,,
9.47,0.005692447881380231,0.005471404616143576,-1.4486337718779843,,
9.475,0.005704330327207402,0.00548301636672216,-1.436768839492804,,
9.48,0.0057162255607711605,0.005494643089316773,-1.4248897267792238,,
9.485,0.005728133464670354,0.005506284669176357,-1.4129965509792926,,
9.49,0.005740053921378782,0.00551794099140322,-1.4010894294738565,,
9.495000000000001,0.005751986813246341,0.0055296119409541655,-1.3891684797813921,,
9.5,0.005763932022500209,0.005541297402641634,-1.3772338195568599,,
9.505,0.005775889431245999,0.0055529972611348365,-1.3652855665905461,,
9.51,0.005787858921468902,0.005564711400960893,-1.3533238388068682,,
9.515,0.005799840375034895,0.0055764397065059725,-1.3413487542632678,,
9.52,0.00581183367369186,0.005588182062016434,-1.3293604311489855,,
9.525,0.0058238386990707835,0.00559993835159997,-1.3173589877839333,,
9.53,0.005835855332686911,0.005611708459226749,-1.305344542617509,,
9.535,0.005847883455940924,0.005623492268730558,-1.2933172142274414,,
9.540000000000001,0.0058599229501200955,0.005635289663809956,-1.2812771213186,,
9.545,0.005871973696399481,0.005647100528029417,-1.269224382721843,,
9.55,0.005884035575843085,0.005658924744820478,-1.2571591173928376,,
9.555,0.005896108469405015,0.005670762197482894,-1.245081444410874,,
9.56,0.005908192257930699,0.0056826127691857855,-1.2329914829777207,,
9.565,0.005920286822158015,0.005694476342968794,-1.2208893524164053,,
9.57,0.005932392042718497,0.005706352801743237,-1.208775172170075,,
9.575000000000001,0.00594450780013851,0.00571824202829326,-1.1966490618008014,,
9.58,0.005956633974840413,0.0057301439052769975,-1.184511140988388,,
9.585,0.005968770447143761,0.005742058315227729,-1.1723615295292247,,
9.59,0.005980917097266471,0.005753985140555036,-1.1602003473350637,,
9.595,0.005993073805326014,0.00576592426354597,-1.1480277144318696,,
9.6,0.006005240451340579,0.005777875566366206,-1.1358437509586043,,
9.605,0.0060174169152302955,0.00578983893106121,-1.1236485771660831,,
9.61,0.0060296030768183665,0.005801814239557403,-1.1114423134157334,,
9.615,0.0060417988158323116,0.005813801373663325,-1.0992250801784664,,
9.620000000000001,0.006054004011905103,0.0058258002150708005,-1.086996998033431,,
9.625,0.00606621854457638,0.005837810645356109,-1.0747581876668602,,
9.63,0.0060784422932936375,0.0058498325459811545,-1.062508769870874,,
9.635,0.006090675137413413,0.005861865798294629,-1.0502488655422813,,
9.64,0.006102916956202477,0.005873910283533191,-1.0379785956813934,,
9.645,0.006115167628839009,0.005885965882822634,-1.0256980813908076,,
9.65,0.006127427034413831,0.005898032477179059,-1.0134074438742573,,
9.655,0.006139695051931543,0.005910109947510053,-1.0011068044353568,,
9.66,0.0061519715603117805,0.005922198174615858,-0.9887962844764667,,
9.665000000000001,0.006164256438390355,0.005934297039190553,-0.9764760054974433,,
9.67,0.006176549564920472,0.00594640642182323,-0.9641460890944555,,
9.675,0.00618885081857395,0.005958526202999172,-0.951806656958819,,
9.68,0.006201160077942371,0.005970656263101028,-0.9394578308757343,,
9.685,0.006213477221538318,0.005982796482410006,-0.927099732723134,,
9.69,0.006225802127796557,0.0059949467411070404,-0.9147324844704572,,
9.695,0.006238134675075242,0.006007106919273983,-0.9023562081774545,,
